probe,grade,Gb.acc,EntrezGene.ID,NCBI.gene.symbol,HUGO.gene.symbol,Cytoband,Alternative.symbols,Description
204026_s_at,3,NM_007057,11130,ZWINT,ZWINT,10q21-q22,HZwint-1|KNTC2AP|MGC117174,ZW10 interactor
204033_at,3,NM_004237,9319,TRIP13,TRIP13,5p15.33,16E1BP,thyroid hormone receptor interactor 13
204092_s_at,3,NM_003600,6790,AURKA,AURKA,20q13.2-q13.3,AIK|ARK1|AURA|AURORA2|BTAK|MGC34538|STK15|STK6|STK7,aurora kinase A
204162_at,3,NM_006101,10403,KNTC2,KNTC2,18p11.32,HEC|HEC1|NDC80|hsNDC80,kinetochore associated 2
204252_at,3,M68520,1017,CDK2,CDK2,12q13,p33(CDK2),cyclin-dependent kinase 2
204318_s_at,3,NM_016426,51512,GTSE1,GTSE1,22q13.2-q13.3,B99,G-2 and S-phase expressed 1
204444_at,3,NM_004523,3832,KIF11,KIF11,10q24.1,EG5|HKSP|KNSL1|TRIP5,kinesin family member 11
204603_at,3,NM_003686,9156,EXO1,EXO1,1q42-q43,HEX1|hExoI,exonuclease 1
204649_at,3,NM_005480,10024,TROAP,TROAP,12q13.12,TASTIN,trophinin associated protein (tastin)
204695_at,3,AI343459,993,CDC25A,CDC25A,3p21,CDC25A2,cell division cycle 25 homolog A (S. cerevisiae)
204766_s_at,3,NM_002452,4521,NUDT1,NUDT1,7p22,MTH1,nudix (nucleoside diphosphate linked moiety X)-type motif 1
204767_s_at,3,BC000323,2237,FEN1,FEN1,11q12,FEN-1|MF1|RAD2,flap structure-specific endonuclease 1
204768_s_at,3,NM_004111,2237,FEN1,FEN1,11q12,FEN-1|MF1|RAD2,flap structure-specific endonuclease 1
204817_at,3,NM_012291,9700,ESPL1,ESPL1,12q,ESP1|FLJ46492|KIAA0165|SEPARIN,extra spindle pole bodies homolog 1 (S. cerevisiae)
204822_at,3,NM_003318,7272,TTK,TTK,6q13-q21,ESK|FLJ38280|MPS1L1|PYT,TTK protein kinase
204825_at,3,NM_014791,9833,MELK,MELK,9p13.2,HPK38|KIAA0175,maternal embryonic leucine zipper kinase
204962_s_at,3,NM_001809,1058,CENPA,CENPA,2p24-p21,NA,centromere protein A
205034_at,3,NM_004702,9134,CCNE2,CCNE2,8q22.1,CYCE2,cyclin E2
205046_at,3,NM_001813,1062,CENPE,CENPE,4q24-q25,KIF10,"centromere protein E, 312kDa"
205733_at,3,NM_000057,641,BLM,BLM,15q26.1,BS|MGC126616|MGC131618|MGC131620|RECQ2|RECQL2|RECQL3,Bloom syndrome
206102_at,3,NM_021067,NA,NA,NA,NA,NA,NA
206364_at,3,NM_014875,9928,KIF14,KIF14,1q32.1,KIAA0042|MGC142302,kinesin family member 14
207165_at,3,NM_012485,3161,HMMR,HMMR,5q33.2-qter,CD168|IHABP|MGC119494|MGC119495|RHAMM,hyaluronan-mediated motility receptor (RHAMM)
207828_s_at,3,NM_005196,1063,CENPF,CENPF,1q32-q41,CENF|PRO1779|hcp-1,"centromere protein F, 350/400ka (mitosin)"
208079_s_at,3,NM_003158,6790,AURKA,AURKA,20q13.2-q13.3,AIK|ARK1|AURA|AURORA2|BTAK|MGC34538|STK15|STK6|STK7,aurora kinase A
208696_at,3,AF275798,22948,CCT5,CCT5,5p15.2,CCT-epsilon|CCTE|KIAA0098|TCP-1-epsilon,"chaperonin containing TCP1, subunit 5 (epsilon)"
209251_x_at,3,BC004949,84790,TUBA6,TUBA6,12q12-q14,MGC10851|MGC14580|bcm948,"tubulin, alpha 6"
209408_at,3,U63743,11004,KIF2C,KIF2C,1p34.1,KNSL6|MCAK,kinesin family member 2C
209464_at,3,AB011446,9212,AURKB,AURKB,17p13.1,AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|STK12|STK5,aurora kinase B
209642_at,3,AF043294,699,BUB1,BUB1,2q14,BUB1A|BUB1L|hBUB1,BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
209680_s_at,3,BC000712,3833,KIFC1,KIFC1,6p21.3,HSET|KNSL2|MGC1202|MGC149736|MGC149737|MKLP2|RAB6-KIFL,kinesin family member C1
209714_s_at,3,AF213033,1033,CDKN3,CDKN3,14q22,CDI1|CIP2|FLJ25787|KAP|KAP1|MGC70625,cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
209773_s_at,3,BC001886,6241,RRM2,RRM2,2p25-p24,R2|RR2M,ribonucleotide reductase M2 polypeptide
209836_x_at,3,AF060511,NA,NA,NA,NA,NA,NA
210052_s_at,3,AF098158,22974,TPX2,TPX2,20q11.2,C20orf1|C20orf2|DIL-2|DIL2|FLS353|GD:C20orf1|HCA519|HCTP4|REPP86|p100,"TPX2, microtubule-associated, homolog (Xenopus laevis)"
210334_x_at,3,AB028869,332,BIRC5,BIRC5,17q25,API4|EPR-1,baculoviral IAP repeat-containing 5 (survivin)
210559_s_at,3,D88357,983,CDC2,CDC2,10q21.1,CDC28A|CDK1|DKFZp686L20222|MGC111195,"cell division cycle 2, G1 to S and G2 to M"
210821_x_at,3,BC002703,1058,CENPA,CENPA,2p24-p21,NA,centromere protein A
211058_x_at,3,BC006379,NA,NA,NA,NA,NA,NA
211072_x_at,3,BC006481,10376,K-ALPHA-1,NA,12q13.12,NA,alpha tubulin
211519_s_at,3,AY026505,11004,KIF2C,KIF2C,1p34.1,KNSL6|MCAK,kinesin family member 2C
211762_s_at,3,BC005978,3838,KPNA2,KPNA2,17q23.1-q23.3,IPOA1|QIP2|RCH1|SRP1alpha,"karyopherin alpha 2 (RAG cohort 1, importin alpha 1)"
212021_s_at,3,AU132185,4288,MKI67,MKI67,10q25-qter,KIA|Ki-67,antigen identified by monoclonal antibody Ki-67
212022_s_at,3,BF001806,4288,MKI67,MKI67,10q25-qter,KIA|Ki-67,antigen identified by monoclonal antibody Ki-67
212023_s_at,3,AU147044,4288,MKI67,MKI67,10q25-qter,KIA|Ki-67,antigen identified by monoclonal antibody Ki-67
212141_at,3,AA604621,4173,MCM4,MCM4,8q11.2,CDC21|CDC54|MGC33310|P1-CDC21|hCdc21,MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
212723_at,3,AK021780,NA,NA,NA,NA,NA,NA
212949_at,3,D38553,23397,NCAPH,NCAPH,2q11.2,BRRN1|CAP-H|HCAP-H,"non-SMC condensin I complex, subunit H"
213226_at,3,AI346350,NA,NA,NA,NA,NA,NA
213599_at,3,BE045993,11339,OIP5,OIP5,15q15.1,5730547N13Rik,Opa interacting protein 5
213671_s_at,3,AA621558,4141,MARS,MARS,12q13.2,FLJ35667|METRS|MTRNS,methionine-tRNA synthetase
213911_s_at,3,BF718636,3015,H2AFZ,H2AFZ,4q24,H2A.z|H2A/z|H2AZ|MGC117173,"H2A histone family, member Z"
214096_s_at,3,AW190316,6472,SHMT2,SHMT2,12q12-q14,GLYA|SHMT,serine hydroxymethyltransferase 2 (mitochondrial)
214431_at,3,NM_003875,8833,GMPS,GMPS,3q24,NA,guanine monphosphate synthetase
214710_s_at,3,BE407516,891,CCNB1,CCNB1,5q12,CCNB,cyclin B1
214804_at,3,BF793446,NA,NA,NA,NA,NA,NA
217835_x_at,3,NM_018840,55969,C20orf24,C20orf24,20q11.23,PNAS-11|RIP5,chromosome 20 open reading frame 24
218009_s_at,3,NM_003981,9055,PRC1,PRC1,15q26.1,ASE1|MGC1671|MGC3669,protein regulator of cytokinesis 1
218039_at,3,NM_016359,51203,NUSAP1,NUSAP1,15q15.1,ANKT|BM037|FLJ13421|LNP|PRO0310p1|Q0310|SAPL,nucleolar and spindle associated protein 1
218355_at,3,NM_012310,24137,KIF4A,KIF4A,Xq13.1,FLJ12530|FLJ12655|FLJ14204|FLJ20631|HSA271784|KIF4|KIF4-G1,kinesin family member 4A
218447_at,3,NM_020188,56942,C16orf61,C16orf61,16q23.2,2310061C15Rik|DC13,chromosome 16 open reading frame 61
218542_at,3,NM_018131,55165,CEP55,CEP55,10q23.33,C10orf3|FLJ10540|URCC6,centrosomal protein 55kDa
218556_at,3,NM_014182,29095,ORMDL2,ORMDL2,12q13.2,HSPC160|MST095|MSTP095|adoplin-2,ORM1-like 2 (S. cerevisiae)
218662_s_at,3,NM_022346,64151,NCAPG,NCAPG,4p15.33,CAPG|CHCG|FLJ12450|HCAP-G|MGC126525|NY-MEL-3,"non-SMC condensin I complex, subunit G"
218726_at,3,NM_018410,55355,DKFZp762E1312,NA,2q37.1,hFLEG1,hypothetical protein DKFZp762E1312
218755_at,3,NM_005733,10112,KIF20A,KIF20A,5q31,FLJ21151|MKLP2|RAB6KIFL,kinesin family member 20A
218883_s_at,3,NM_024629,79682,MLF1IP,MLF1IP,4q35.1,CENP-50|CENP-U|CENP-U(50)|CENPU|FLJ23468|KLIP1,MLF1 interacting protein
219000_s_at,3,NM_024094,79075,DCC1,NA,8q24.12,MGC5528,defective in sister chromatid cohesion homolog 1 (S. cerevisiae)
219306_at,3,NM_020242,56992,KIF15,KIF15,3p21.31,FLJ25667|HKLP2|KNSL7|NY-BR-62,kinesin family member 15
219510_at,3,NM_006596,10721,POLQ,POLQ,3q13.33,DKFZp781A0112|POLH|PRO0327,"polymerase (DNA directed), theta"
219555_s_at,3,NM_018455,55839,CENPN,CENPN,16q23.2,BM039|C16orf60|CENP-N|FLJ13607|FLJ22660,centromere protein N
219918_s_at,3,NM_018123,259266,ASPM,ASPM,1q31,ASP|Calmbp1|DKFZp686N06184|FLJ10517|FLJ10549|FLJ43117|MCPH5,"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)"
220060_s_at,3,NM_017915,55010,C12orf48,C12orf48,12q23.2,FLJ20641,chromosome 12 open reading frame 48
220651_s_at,3,NM_018518,55388,MCM10,MCM10,10p13,CNA43|MGC126776|PRO2249,MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)
221436_s_at,3,NM_031299,83461,CDCA3,CDCA3,12p13,GRCC8|MGC2577|TOME-1,cell division cycle associated 3
221520_s_at,3,BC001651,55143,CDCA8,CDCA8,1p34.3,BOR|FLJ10468|FLJ12042,cell division cycle associated 8
221591_s_at,3,BC005004,54478,FAM64A,FAM64A,17p13.2,FLJ10156|FLJ10491,"family with sequence similarity 64, member A"
221677_s_at,3,AF232674,29980,DONSON,DONSON,21q22.1,B17|C21orf60|DKFZP434M035,downstream neighbor of SON
222036_s_at,3,AI859865,4173,MCM4,MCM4,8q11.2,CDC21|CDC54|MGC33310|P1-CDC21|hCdc21,MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
222039_at,3,AA292789,NA,NA,NA,NA,NA,NA
222077_s_at,3,AU153848,29127,RACGAP1,RACGAP1,12q13.13,HsCYK-4|ID-GAP|MgcRacGAP,Rac GTPase activating protein 1
38158_at,3,D79987,9700,ESPL1,ESPL1,12q,ESP1|FLJ46492|KIAA0165|SEPARIN,extra spindle pole bodies homolog 1 (S. cerevisiae)
204072_s_at,1,NM_023037,10129,FRY,FRY,13q13.1,13CDNA73|214K23.2|C13orf14|CG003|bA207N4.2|bA37E23.1,furry homolog (Drosophila)
204703_at,1,NM_006531,8100,IFT88,IFT88,13q12.1,D13S1056E|MGC26259|RP11-172H24.2|TG737|TTC10|hTg737,intraflagellar transport 88 homolog (Chlamydomonas)
205898_at,1,U20350,1524,CX3CR1,CX3CR1,3p21|3p21.3,CCRL1|CMKBRL1|CMKDR1|GPR13|GPRV28|V28,chemokine (C-X3-C motif) receptor 1
213103_at,1,AA128023,90627,STARD13,STARD13,13q12-q13,DLC2|FLJ37385|GT650,START domain containing 13
216264_s_at,1,X79683,3913,LAMB2,LAMB2,3p21,LAMS,"laminin, beta 2 (laminin S)"
216520_s_at,1,AF072098,7178,TPT1,TPT1,13q12-q14,FLJ27337|HRF|TCTP|p02,"tumor protein, translationally-controlled 1"
217889_s_at,1,NM_024843,79901,CYBRD1,CYBRD1,2q31.1,DCYTB|FLJ23462|FRRS3,cytochrome b reductase 1
218346_s_at,1,NM_014454,27244,SESN1,SESN1,6q21,MGC138241|MGC142129|PA26|RP11-787I22.1|SEST1,sestrin 1
218471_s_at,1,NM_024649,582,BBS1,BBS1,11q13.1,BBS2L2|FLJ23590|MGC126183|MGC126184|MGC51114,Bardet-Biedl syndrome 1
218483_s_at,1,NM_020153,56912,C11orf60,C11orf60,11q23.3,C11orf2|FLJ21827,chromosome 11 open reading frame 60
219238_at,1,NM_017837,55650,PIGV,PIGV,1p36.11,FLJ20477,"phosphatidylinositol glycan anchor biosynthesis, class V"
219455_at,1,NM_024788,79846,FLJ21062,NA,7q21.13,NA,hypothetical protein FLJ21062
220141_at,1,NM_024806,79864,C11orf63,C11orf63,11q24.1,FLJ23554,chromosome 11 open reading frame 63
220917_s_at,1,NM_025132,57728,WDR19,WDR19,4p14,FLJ23127|KIAA1638|ORF26|PWDMP,WD repeat domain 19
221562_s_at,1,AF083108,23410,SIRT3,SIRT3,11p15.5,SIR2L3,sirtuin (silent mating type information regulation 2 homolog) 3 (S. cerevisiae)
221771_s_at,1,BC003542,54737,HSMPP8,NA,13q12.11,FLJ35237,"M-phase phosphoprotein, mpp8"
